@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute red numeric
@attribute green numeric
@attribute blue numeric
@attribute sound numeric
@attribute outputs-1 {0,1,2}

@data
7524,'2016/05/04 03:49:55:981',7,45.456203,41.629044,29.829161,0,1
7525,'2016/05/04 03:49:55:981',7,45.456203,41.629044,29.829161,0,1
7526,'2016/05/04 03:49:55:981',7,45.456203,41.629044,29.829161,0,1
7527,'2016/05/04 03:49:56:020',7,45.456203,41.629044,29.829161,0,1
7528,'2016/05/04 03:49:56:020',7,45.456203,41.629044,29.829161,0,1
7529,'2016/05/04 03:49:56:020',7,45.456203,41.629044,29.829161,0,1
7530,'2016/05/04 03:49:56:059',7,45.456203,41.629044,29.829161,0,1
7531,'2016/05/04 03:49:56:060',7,45.456203,41.629044,29.829161,0,1
7532,'2016/05/04 03:49:56:060',7,45.456203,41.629044,29.829161,0,1
7533,'2016/05/04 03:49:56:061',7,45.456203,41.629044,29.829161,0,1
7534,'2016/05/04 03:49:56:061',7,45.456203,41.629044,29.829161,0,1
7535,'2016/05/04 03:49:56:103',7,45.456203,41.629044,29.829161,0,1
7536,'2016/05/04 03:49:56:104',7,45.456203,41.629044,29.829161,0,1
7537,'2016/05/04 03:49:56:104',7,45.456203,41.629044,29.829161,0,1
7538,'2016/05/04 03:49:56:141',7,45.456203,41.629044,29.829161,0,1
7539,'2016/05/04 03:49:56:142',7,45.456203,41.629044,29.829161,0,1
7540,'2016/05/04 03:49:56:142',7,45.456203,41.629044,29.829161,0,1
7541,'2016/05/04 03:49:56:159',7,45.456203,41.629044,29.829161,0,1
7542,'2016/05/04 03:49:56:160',7,45.456203,41.629044,29.829161,0,1
7543,'2016/05/04 03:49:56:180',7,45.456203,41.629044,29.829161,0,1
7544,'2016/05/04 03:49:56:180',7,45.456203,41.629044,29.829161,0,1
7545,'2016/05/04 03:49:56:180',7,45.456203,41.629044,29.829161,0,1
7546,'2016/05/04 03:49:56:220',7,45.456203,41.629044,29.829161,0,1
7547,'2016/05/04 03:49:56:220',7,45.456203,41.629044,29.829161,0,1
7548,'2016/05/04 03:49:56:220',7,45.456203,41.629044,29.829161,0,1
7549,'2016/05/04 03:49:56:259',7,45.456203,41.629044,29.829161,0,1
7550,'2016/05/04 03:49:56:260',7,45.456203,41.629044,29.829161,0,1
7551,'2016/05/04 03:49:56:260',7,45.456203,41.629044,29.829161,0,1
7552,'2016/05/04 03:49:56:260',7,45.456203,41.629044,29.829161,0,1
7553,'2016/05/04 03:49:56:260',7,45.456203,41.629044,29.829161,0,1
7554,'2016/05/04 03:49:56:300',7,45.456203,41.629044,29.829161,0,1
7555,'2016/05/04 03:49:56:300',7,45.456203,41.629044,29.829161,0,1
7556,'2016/05/04 03:49:56:300',7,45.456203,41.629044,29.829161,0,1
7557,'2016/05/04 03:49:56:340',7,45.456203,41.629044,29.829161,0,1
7558,'2016/05/04 03:49:56:340',7,45.456203,41.629044,29.829161,0,1
7559,'2016/05/04 03:49:56:340',7,45.456203,41.629044,29.829161,0,1
7560,'2016/05/04 03:49:56:360',7,45.456203,41.629044,29.829161,0,1
7561,'2016/05/04 03:49:56:360',7,45.456203,41.629044,29.829161,0,1
7562,'2016/05/04 03:49:56:380',7,45.456203,41.629044,29.829161,0,1
7563,'2016/05/04 03:49:56:380',7,45.456203,41.629044,29.829161,0,1
7564,'2016/05/04 03:49:56:380',7,45.456203,41.629044,29.829161,0,1
7565,'2016/05/04 03:49:56:420',7,45.456203,41.629044,29.829161,0,1
